name,logo,category,address,description,site_web,size,twitter,linkedin,facebook,youtube
Magpharm,https://www.emploitic.com/images/cpsite/magpharm/new-logo.jpg,Pharmacie et parapharmacie.,"02, impasse Mouloud Feraoun, Dar El Beida, Alger","Créé en 2003, Magpharm groupe dispose de 3 enseignes : un laboratoire pharmaceutique classé numéro 1 dans les produits santé et bien-être, un distributeur de produits pharmaceutiques et une entreprise de logistique, lui permettant une présence dans les 58 wilayas. 

MAGPHARM propose une large gamme de produits qui permettent de préserver le capital santé et beauté de chacun, et qui assurent confort et bien-être. 

MAGPHARM dispose de son propre site de production où sont fabriqués ses produits conformément aux recommandations internationales, ce qui constitue un gage majeur de sécurité, d’efficacité et de qualité.",https://www.magpharm.com/,+800 employés,https://twitter.com/magpharm_labo,https://www.linkedin.com/company/magpharm-laboratoires/,https://www.facebook.com/magpharmlaboratoires/,https://www.youtube.com/channel/UCCNxYaNqJ8QM6dj9Hn8EPGA
Celia Algérie,https://www.emploitic.com/images/cpsite/Celia/logo.jpg,Agroalimentaire,"Rue des frères Zedri, Béni Tamou, Blida",,https://www.lactalis.fr/,85 500 collaborateurs à l’échelle mondiale,,https://www.linkedin.com/company/celia-algeria,https://www.facebook.com/CeliaAlgerie/,
ABDI IBRAHIM REMEDE PHARMA SPA,https://www.emploitic.com/images/cpsite/Abdi-ibrahim/logo.jpg,pharmaceutique,02 route de Douera Baba Hassen Alger,"Joint-venture signé entre Abdi İbrahim & Remède Pharma le 14 décembre 2014 

Abdi Ibrahim Entreprise pharmaceutique leader sur le marché pharmaceutique turc, pour les 12 dernières années consécutives. Fondée en 1912, plus de 100 ans d'expertise dans le domaine pharmaceutique. Présent sur le marché algérien depuis 1999. 

Remede Pharma, société locale algérienne, créée en 2004, spécialisée en Urologie, Zones de fer et de CNS avec tous les produits fabriqués localement.",http://www.airpdz.com/,332 employés,,,,
CM consulting,https://www.emploitic.com/images/cpsite/CM-Consulting/logo.jpg,Entreprise de service du numérique,"1A Lotissement MONS, Section21, Ilot52, Ben Aknoun - Alger","Fondée en 2003, CM Consulting est une Entreprise de Services du Numérique (ESN). Premier partenaire SAP & DEDALUS, et se positionne aujourd’hui parmi les leaders de la transformation digitale en Afrique",http://www.cmconsulting-dz.com/,52 employés,https://twitter.com/CMConsulting4,https://www.linkedin.com/company/cm-consulting-cmc/,https://www.facebook.com/CMCdz/,https://www.youtube.com/channel/UCZLu0v3rnm2pDkyVCT6zKnQ
Rafikni,https://www.emploitic.com/images/cpsite/Rafikni/logo.jpg,service a la personne,Alger,"Rafikni est une entreprise qui exerce dans les services à la personne elle aide et accompagne les personnes âgées, en situation de handicap ou bien en perte d’autonomie à domicile à travers la promotion du métier d’auxiliaire de vie sociale.

Avec notre deuxième service de coaching des aidants familiaux ( naturels) nous accompagnons les familles avec des thérapies familiales, groupe de paroles et des sessions de formation sur les meilleures techniques de prise en charges des personnes âgées ou bien en situation de handicap a domicile.",,24 employées,,https://www.linkedin.com/company/rafiknidz/,https://www.facebook.com/rafiknidz?_rdc=1&_rdr,
Cevital,https://www.emploitic.com/images/cpsite/Cevital/logo.jpg,Multisectoriels,"Ilot D N° 6 ZHUN GARIDI 2 , Kouba - , Alger, Algérie","Première entreprise privée algérienne à avoir investi dans des secteurs d’activités diversifiés, elle a
traversé d’importantes étapes historiques pour atteindre sa taille et sa notoriété actuelle.
Industrie agroalimentaire, électroménager, industrie du verre et de la menuiserie, logistique et
transport, bâtiment et travaux publics, grande distribution, services et numérique, le Groupe Cevital
s’est construit, au fil des investissements, autour de l’idée forte de constituer un ensemble
économique.
Porté par 18 000 employés, il représente le fleuron de l’économie algérienne, et œuvre
continuellement dans la création d’emplois et de richesse.",https://www.cevital.com/,18 000 employés,https://twitter.com/groupecevital,https://www.linkedin.com/company/cevital-spa/mycompany/,https://www.facebook.com/GroupeCevital/,https://www.youtube.com/channel/UCaCr0oMYupFBNsNSORUz57g
Ericsson Algérie,https://www.emploitic.com/attachments/company_logo/logo_5163325.jpg,"Informatique, Télécom, Internet","tour CMA-CGM quartier des affaires Bab Ezzouar – (au 9eme étage)., Alger, Algérie",,,Multinationale,,,,
Jumia - Jade e-services,https://www.emploitic.com/attachments/company_logo/logo_5000917.jpg,Services,"123, Bois des cars 3, Dely Ibrahim 16320, Alger, Algérie","Jumia le site de e-commerce N° 1 en Algérie a été créé en mai
2012 avec l'objectif et la vision de devenir le guichet unique pour la
vente au détail en Afrique avec la mise en œuvre des meilleures
pratiques en ligne et hors ligne.",https://www.jumia.dz/,Multinationale,,https://www.linkedin.com/company/jumia-group,https://www.facebook.com/JumiaDZ/,
HYDRA PHARM,https://www.emploitic.com/attachments/company_logo/logo_5194865.jpg,"Distribution, Commerce","10, rue Ibrahim Hadjres, , Alger, Algérie",,https://www.groupehydrapharm.com/,Multinationale,,https://www.emploitic.com/hydrapharm-group,,
ooredoo,https://www.emploitic.com/images/cpsite/ooredoo/white-1Artboard-272-100.jpg,Télécommunication,Route de Ouled Fayet Cheraga - Alger,"Premier opérateur multimédia de téléphonie mobile en Algérie, Nedjma, devenue Ooredoo le 21 novembre 2013, est la filiale algérienne du Groupe qatari Ooredoo.

La marque Nedjma a été commercialement lancée le 24 août 2004, en offrant aux Algériens, qu’ils soient clients particuliers ou entreprises, une gamme d’offres et de services novateurs, en respect avec les standards internationaux.

Ooredoo a pour mission de donner à ses clients de son empreinte mondiale accès au meilleur du réseau mobile et de la 4G d’une manière personnelle et unique.",http://www.ooredoo.dz/Ooredoo/Algerie/a-propos,2646 employés,https://twitter.com/ooredoodz,https://www.linkedin.com/company/ooredoo-algerie/,https://www.facebook.com/OoredooDZ/,https://www.youtube.com/user/OoredooDZ
